stations_id,stationsname,bundesland,mess_datum,mess_datum_beginn,mess_datum_ende,bedeckungsgrad,lufttemperatur,lufttemperatur_max,lufttemperatur_min,windstaerke,sonnenscheindauer,windspitze,lufttemperatur_absmax,lufttemperatur_absmin,niederschlagshoehe,niederschlagshoehe_max,schneehoehe_neu,schneehoehe,sturm_6bft,sturm_8bft,gewitter,glatteis,graupel,hagel,nebel,tau,stationshoehe,geobreite,geolaenge
164,Angermuende,Brandenburg,1935-01-15,NA,NA,4.71,8.59,12.74,4.48,NA,NA,NA,33.2,-15,575.9,50,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1936-01-15,NA,NA,5.33,8.63,12.57,4.67,3.14,NA,NA,33.8,-11.6,552,45.3,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1937-01-15,NA,NA,5.12,8.8,12.76,4.78,2.93,NA,NA,34,-17.7,547.9,26.1,NA,273,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1938-01-15,NA,NA,4.73,9.31,13.49,5.04,3.1,NA,NA,31.5,-18.1,504.4,28.3,NA,272,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1939-01-15,NA,NA,NA,8.75,12.94,4.51,2.95,NA,NA,32,-19.2,675.5,48.2,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1940-01-15,NA,NA,4.91,6.23,10.57,NA,3.04,NA,NA,30.8,NA,617.1,44.8,NA,1373,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1941-01-15,NA,NA,NA,7,10.86,2.57,2.98,NA,NA,32.7,-27,564.4,37.8,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1942-01-15,NA,NA,5.47,7.19,11.47,3.02,3.23,NA,NA,32.4,-22.2,438.9,18.5,NA,572,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1944-01-15,NA,NA,5.83,8.68,12.77,4.63,3.38,NA,NA,33.4,-13,563.1,25.1,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1947-01-15,NA,NA,NA,7.95,12.83,3.35,NA,NA,NA,34.2,-22.5,552.7,29.1,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1948-01-15,NA,NA,NA,9.18,13.69,4.71,NA,NA,NA,32.5,-15.7,523.8,57,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1949-01-15,NA,NA,NA,9.32,13.95,4.76,NA,NA,NA,34.4,-12.8,488.2,26.2,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1950-01-15,NA,NA,NA,8.6,12.92,4.3,NA,NA,NA,32,-14.1,506.9,37.3,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1951-01-15,19510101,19511231,5.46,8.82,13.15,4.62,2.15,1954.9,NA,31.2,-12,509.8,31.4,NA,32,76,38,29,0,13,2,58,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1952-01-15,19520101,19521231,5.73,7.85,11.73,3.86,2.01,NA,NA,32.1,-12.4,488.4,22.4,NA,233,24,11,21,0,30,1,61,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1953-01-15,19530101,19531231,5.31,9.36,13.98,4.62,1.91,NA,NA,31.8,-23.6,535.8,67.1,NA,417,25,3,31,0,17,1,50,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1954-01-15,19540101,19541231,5.71,7.52,11.62,3.16,1.93,1629.7,NA,33.9,-23.2,585.9,25.3,NA,344,9,2,27,0,16,4,53,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1955-01-15,19550101,19551231,5.6,7.55,11.84,3.3,1.82,1750.7,NA,29.4,-19,578,27,NA,307,7,1,34,0,34,6,76,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1956-01-15,19560101,19561231,5.72,6.98,10.99,2.88,2.16,1791.3,NA,29.8,-29.1,645.7,33.8,NA,439,14,6,24,0,29,9,34,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1957-01-15,19570101,19571231,5.42,8.69,12.98,4.35,2.23,1806.5,NA,33.4,-11.6,467.7,27.1,NA,27,15,1,27,0,22,4,66,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1958-01-15,19580101,19581231,5.86,8.17,12.16,4.33,2.15,1638.8,NA,31.6,-16.6,508,29.5,NA,118,19,1,33,0,26,5,76,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1959-01-15,19590101,19591231,5.2,8.93,13.76,4.25,2.17,2053,NA,36.4,-15.9,455.4,31.1,NA,188,20,1,23,0,18,6,83,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1960-01-15,19600101,19601231,6.02,8.28,12.34,4.49,2.2,1647.8,NA,31.5,-16.9,650.1,38.6,NA,228,14,0,30,0,18,4,77,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1961-01-15,19610101,19611231,5.66,8.87,13.15,5.01,2.26,1739.5,NA,32.3,-20,682.8,19.9,17,60,18,4,30,0,15,6,56,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1962-01-15,19620101,19621231,5.8,7.31,11.32,3.62,2.32,1528.8,NA,30.7,-15.6,500.7,18.4,51,111,27,4,30,0,30,6,74,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1963-01-15,19630101,19631231,5.68,7.24,11.81,2.67,2.17,1974.7,NA,35,-26.6,456.7,26.1,76,1078,28,3,25,0,14,3,79,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1964-01-15,19640101,19641231,5.55,8.2,12.41,3.97,2.49,1839.6,NA,33.4,-14.8,502.7,28.4,26,65,30,7,29,0,27,5,49,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1965-01-15,19650101,19651231,5.85,7.38,11.68,3.34,2.66,1611.2,NA,30.6,-20.8,627.2,42.6,NA,773,36,2,23,0,29,3,73,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1966-01-15,19660101,19661231,6.04,8.45,12.41,4.79,2.48,1587.4,NA,32.8,-16.5,669.4,88.5,44,316,12,1,25,0,28,5,60,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1967-01-15,19670101,19671231,NA,9.38,13.71,5.55,2.57,1794.9,NA,31,-13.9,656.9,27.1,35,90,34,2,29,28,19,2,53,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1968-01-15,19680101,19681231,NA,8.44,12.98,4.4,2.47,1747.4,NA,33,-17.5,684.7,73.8,69,288,23,4,31,37,25,2,62,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1969-01-15,19690101,19691231,NA,7.25,11.96,3.16,2.64,1719.4,NA,33.5,-21.8,519.2,83.7,69,818,37,3,18,106,24,0,64,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1970-01-15,19700101,19701231,5.51,7.43,11.97,3.54,2.77,1707.7,NA,32.6,-21.9,620,17,112,1376,72,3,16,75,37,0,53,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1971-01-15,19710101,19711231,NA,8.78,13.52,4.65,NA,1811.7,NA,33.5,-22.1,417.1,33.2,35,350,63,2,18,40,13,1,58,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1972-01-15,19720101,19721231,NA,7.92,12.5,4.11,NA,1631.9,NA,32.6,-17.9,516.4,42.4,16,205,44,1,30,35,16,1,79,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1973-01-15,19730101,19731231,5.39,8.44,13.07,4.37,0,1713.7,NA,32,-10.9,453.1,22.8,24,88,54,2,24,36,28,0,62,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1974-01-15,19740101,19741231,5.73,8.95,13.41,5.13,0,1578.8,NA,33.4,-7.4,654.8,22,11,25,16,1,22,8,4,1,61,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1975-01-15,19750101,19751231,5.28,9.29,13.83,5.37,0,1837.6,NA,32.9,-7.6,395.8,44.6,7,7,33,0,20,1,5,1,67,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1976-01-15,19760101,19761231,5.29,8.14,12.61,4.12,0,1795,NA,35.5,-16.9,407.4,19.7,36,124,20,4,17,42,17,0,64,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1977-01-15,19770101,19771231,NA,8.77,12.77,5.37,NA,NA,NA,30.3,-7.9,549.7,17.8,20,66,25,0,19,30,13,0,66,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1978-01-15,19780101,19781231,NA,8.24,12.42,4.46,NA,1597.6,NA,30.9,-18.9,629.9,122.4,33,127,13,0,16,37,1,0,56,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1979-01-15,19790101,19791231,5.54,7.63,11.7,3.97,2.64,1650.2,NA,31.6,-21.1,527.7,33.8,77,1724,24,2,25,82,3,1,47,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1980-01-15,19800101,19801231,5.55,7.28,11.22,3.69,2.59,1560.4,NA,30.5,-17.9,527.6,24.2,NA,383,35,1,25,55,23,0,51,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1981-01-15,19810101,19811231,5.73,8.4,12.46,4.69,2.61,1574.8,NA,31.5,-17.1,510.6,32,47,371,40,3,22,66,22,0,62,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1982-01-15,19820101,19821231,4.68,8.91,13.69,4.54,2.37,1994,NA,33,-17.1,322.5,14.7,8,116,30,1,21,23,14,0,73,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1983-01-15,19830101,19831231,5.14,9.31,13.65,5.33,2.66,1661.8,NA,35.8,-13.2,493.3,23.8,29,210,60,3,18,45,21,0,49,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1984-01-15,19840101,19841231,5.58,8.09,11.98,4.42,2.52,1428.5,NA,34.7,-10.3,544.4,45.8,34,74,28,3,16,38,6,0,60,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1985-01-15,19850101,19851231,5.65,7.46,11.71,3.5,2.6,1542,NA,32,-23.9,438.4,13.9,86,534,41,2,23,74,20,0,54,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1986-01-15,19860101,19861231,5.25,7.79,12.09,3.85,NA,1743,NA,34.8,-21.7,567.3,36.4,74,478,29,3,14,76,9,2,44,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1987-01-15,19870101,19871231,5.5,7.13,11,3.61,2.73,1571.1,NA,31,-27.1,677.5,123,56,346,29,0,28,86,21,2,67,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1988-01-15,19880101,19881231,5.6,9.2,13.47,5.73,2.91,1660.9,NA,29.7,-9.6,423.5,11.1,43,85,50,3,24,42,22,0,57,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1989-01-15,19890101,19891231,4.91,9.79,14.59,5.67,2.75,1922.6,NA,34.4,-9.6,399.6,26.6,29,65,41,2,11,22,7,1,70,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1990-01-15,19900101,19901231,5.14,9.68,14.08,6.03,2.88,1841.1,NA,31.1,-6.8,581,72.4,25,152,59,6,25,28,6,0,48,0,54,53.0316,13.9908
164,Angermuende,Brandenburg,1991-01-15,19910101,19911231,5.15,8.45,12.72,4.24,2.77,1787.4,NA,33.2,-13.2,449.8,22.3,16,97,47,1,21,2,10,0,51,186,54,53.0316,13.9908
164,Angermuende,Brandenburg,1992-01-15,19920101,19921231,4.94,9.51,13.91,5.1,2.79,1895.8,31.9,37.6,-11.3,466.7,25,3,5,64,2,16,12,11,1,39,152,54,53.0316,13.9908
164,Angermuende,Brandenburg,1993-01-15,19930101,19931231,5.44,8.5,12.64,4.58,2.75,1638,35,30.3,-14.5,552.1,52.3,42,171,60,1,22,22,20,1,52,147,54,53.0316,13.9908
164,Angermuende,Brandenburg,1994-01-15,19940101,19941231,5.45,9.56,13.74,5.56,2.79,1788.4,30.9,37.1,-13.2,544.4,33.9,28,75,73,3,14,7,14,1,41,176,54,53.0316,13.9908
164,Angermuende,Brandenburg,1995-01-15,19950101,19951231,5.31,8.78,13.01,4.72,2.77,1854,28.8,31.8,-20.9,558.9,44.7,48,174,56,1,19,42,26,0,58,182,54,53.0316,13.9908
164,Angermuende,Brandenburg,1996-01-15,19960101,19961231,5.49,7.04,10.99,3.28,2.59,1546.1,26.2,32.4,-17.2,438.5,33.3,44,144,31,0,25,38,28,1,62,180,54,53.0316,13.9908
164,Angermuende,Brandenburg,1997-01-15,19970101,19971231,5.34,8.9,13.09,4.87,2.74,1857,35.5,31.4,-21.1,567,35.9,18,70,55,4,32,22,18,1,61,204,54,53.0316,13.9908
164,Angermuende,Brandenburg,1998-01-15,19980101,19981231,5.7,9.07,12.97,5.47,2.92,1468.8,28.3,36.5,-14.8,579.4,24.3,32,149,70,1,25,21,14,2,41,196,54,53.0316,13.9908
164,Angermuende,Brandenburg,1999-01-15,19990101,19991231,5.37,9.8,13.98,5.79,2.79,1778.3,28,35,-13.3,443.4,22.6,40,111,47,2,22,42,22,1,40,216,54,53.0316,13.9908
164,Angermuende,Brandenburg,2000-01-15,20000101,20001231,5.55,10.03,14.12,6.26,2.78,1701,29,35.5,-11,499.1,26.6,24,92,49,2,27,18,10,0,55,246,54,53.0316,13.9908
164,Angermuende,Brandenburg,2001-01-15,20010101,20011231,5.64,8.8,12.68,5.02,2.78,1530.7,25,33.4,-12.2,552,33.8,61,129,37,1,22,47,19,0,45,199,54,53.0316,13.9908
164,Angermuende,Brandenburg,2002-01-15,20020101,20021231,5.3,9.38,13.47,5.51,2.7,1663.7,34.3,33.1,-12.8,675.7,33.4,18,36,51,4,28,27,19,3,38,210,54,53.0316,13.9908
164,Angermuende,Brandenburg,2003-01-15,20030101,20031231,4.71,9.05,13.68,4.38,2.55,2059.6,27.1,34.4,-18.4,413.8,23.2,37,150,38,1,19,23,22,3,36,199,54,53.0316,13.9908
164,Angermuende,Brandenburg,2004-01-15,20040101,20041231,5.38,9,13.1,5.01,2.67,1646.3,33.9,30.7,-12.7,511.7,43.4,37,116,38,2,34,28,22,1,46,193,54,53.0316,13.9908
164,Angermuende,Brandenburg,2005-01-15,20050101,20051231,5.04,8.97,13.26,4.68,2.59,1832.4,25.2,32,-13.8,530,28.2,87,460,23,0,22,46,17,2,41,226,54,53.0316,13.9908
